State,portal-urls
Andaman Nicobar Islands,https://results.eci.gov.in/ResultAcGenMay2026/statewiseU011.htm
Andhra Pradesh,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS011.htm
Arunachal Pradesh,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS021.htm
Assam,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS031.htm
Bihar,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS041.htm
Chandigarh,https://results.eci.gov.in/ResultAcGenMay2026/statewiseU021.htm
Chhattisgarh,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS261.htm
Dadra Nagar Haveli and Daman Diu,https://results.eci.gov.in/ResultAcGenMay2026/statewiseU031.htm
Goa,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS051.htm
Gujarat,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS061.htm
Haryana,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS071.htm
Himachal Pradesh,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS081.htm
Jammu and Kashmir,https://results.eci.gov.in/ResultAcGenMay2026/statewiseU081.htm
Jharkhand,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS271.htm
Karnataka,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS101.htm
Kerala,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS111.htm
Ladakh,https://results.eci.gov.in/ResultAcGenMay2026/statewiseU091.htm
Lakshadweep,https://results.eci.gov.in/ResultAcGenMay2026/statewiseU061.htm
Madhya Pradesh,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS121.htm
Maharashtra,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS131.htm
Manipur,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS141.htm
Meghalaya,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS151.htm
Mizoram,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS161.htm
Nagaland,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS171.htm
NCT OF Delhi,https://results.eci.gov.in/ResultAcGenMay2026/statewiseU051.htm
Odisha,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS181.htm
Puducherry,https://results.eci.gov.in/ResultAcGenMay2026/statewiseU071.htm
Punjab,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS191.htm
Rajasthan,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS201.htm
Sikkim,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS211.htm
Tamil Nadu,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS221.htm
Telangana,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS291.htm
Tripura,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS231.htm
Uttar Pradesh,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS241.htm
Uttarakhand,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS281.htm
West Bengal,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm
